,lat,lon,time,prec,year,month,day,geometry,area_km2,wsarea_km2,areaweight,id,weightedprec
330,39.09375,-79.34375,1993-11-27,10.85,1993,11,27,"POLYGON ((-79.3357836700723 39.125, -79.3125 39.125, -79.3125 39.07096765497377, -79.31283733907797 39.0705382096176, -79.31337236470326 39.07024038718695, -79.31388170606353 39.07015129017667, -79.31469393592192 39.070357818767, -79.315570068893 39.07057772761175, -79.31697522699925 39.07085031720099, -79.31787670712737 39.07125077141023, -79.31898624183106 39.07159115522567, -79.32056284293618 39.07206889864051, -79.32153955877523 39.07217603085664, -79.32202849013298 39.07222966050724, -79.32302749066699 39.07226657419848, -79.3242892202442 39.07237482136589, -79.32542768311619 39.07271554793918, -79.32708374939477 39.07356378836865, -79.32850067840796 39.07456624473851, -79.32932529166358 39.0757494248468, -79.32979915500621 39.07685548908928, -79.33110472458119 39.07884747074684, -79.33145443253039 39.08022656221307, -79.33192943776366 39.08128757659755, -79.33296172341514 39.08240161762524, -79.33386682080966 39.08268937221135, -79.33519912141767 39.08229392819476, -79.33610898321461 39.08237901146724, -79.33727941860643 39.08259844472185, -79.33862398799069 39.08294199141508, -79.34014405099316 39.08335109337691, -79.34187244075902 39.08362799181344, -79.34348743642656 39.08371852914676, -79.34442411038351 39.08389401951052, -79.34610754623857 39.0848595056254, -79.3476844403898 39.08531436902166, -79.34932792964787 39.0854547916886, -79.35050181138521 39.08556151902376, -79.35152666355317 39.08573820638921, -79.35278554167931 39.08598125118596, -79.35387016586427 39.08613624494288, -79.35489342362877 39.08647506625474, -79.35488611617603 39.08651316614362, -79.35476762398004 39.08713104246646, -79.35430688608925 39.0876471571378, -79.35373063289971 39.08831479416406, -79.35320660402597 39.08915887974668, -79.35260107665997 39.08987115514969, -79.35197565060102 39.09025877305533, -79.35149079880807 39.09059881940301, -79.35081309634029 39.09080999812215, -79.35004708258968 39.09121362724626, -79.34944760627835 39.09166467001062, -79.34914693265614 39.09253442560222, -79.34879399721278 39.0932277357596, -79.34869179492634 39.09401469496767, -79.34895224475153 39.09486986699292, -79.3489600422007 39.09574398549449, -79.34915753247816 39.0968820910519, -79.34938477097795 39.0979530457907, -79.34948486127642 39.09856022763736, -79.34950759822915 39.0986981502164, -79.34944009479443 39.0987589353761, -79.34890667984494 39.09923927084445, -79.34808325749424 39.0996826320461, -79.34731482986432 39.10015378908059, -79.34676498466584 39.10088935091648, -79.34664395518362 39.10144329821559, -79.34660797947036 39.10160795293064, -79.34669239757908 39.10278951966436, -79.34686544982516 39.10379663074316, -79.34678257526977 39.1049307598689, -79.34676058177551 39.10587203751565, -79.34662763107747 39.10676669221277, -79.34652750518502 39.10746356832104, -79.34618750397357 39.10818213361056, -79.34605530581662 39.10846152433628, -79.34533501319562 39.10928025755781, -79.34405597458185 39.11000544855705, -79.34319334914511 39.11091224903352, -79.34259395911033 39.11138127606812, -79.3417740728767 39.11163542107205, -79.34098223964047 39.11192600143284, -79.33999067127681 39.11234888010234, -79.33891061970311 39.11296871748023, -79.33825270837949 39.11352700146652, -79.33750970729324 39.11410658006005, -79.33659744950774 39.11475131760132, -79.33599821273025 39.11517976347644, -79.3351734733868 39.11566805573214, -79.33443147455083 39.11620258860425, -79.33366404167185 39.1166511414632, -79.33289022443779 39.11733837803104, -79.33209202647649 39.11789461387684, -79.33146146929553 39.1184532405841, -79.33127467609006 39.11926150371447, -79.33111438898618 39.1201106803121, -79.33123290186744 39.12103143420778, -79.33144153784238 39.1216876702144, -79.3320509766337 39.12202527435788, -79.33237832747618 39.12239937902574, -79.33322089119937 39.12355125212118, -79.33408292836383 39.12384739946948, -79.33511823207209 39.12397032255129, -79.33553270847079 39.12423754848108, -79.33576904961225 39.12491669906302, -79.3357836700723 39.125))",24.197761912497334,3478.65,0.006956078338578855,125,0.07547345262711389
695,39.09375,-79.28125,1993-11-27,13.9,1993,11,27,"POLYGON ((-79.3125 39.125, -79.27488931359282 39.125, -79.27500157211804 39.12466394130787, -79.27521458038289 39.12427938859702, -79.27528972171837 39.12414373077706, -79.27529793425217 39.12413834434691, -79.27578738001432 39.12381734081746, -79.27653037303712 39.12347073253154, -79.27670165510543 39.1233334321503, -79.27686034975393 39.12317589222653, -79.27716733586591 39.12287114254094, -79.27794954662204 39.12162576612518, -79.27867364289145 39.12056875260314, -79.27960651233251 39.11972654500101, -79.28067040716169 39.11905295688207, -79.28188440494326 39.11867463373713, -79.28203417433637 39.11856821551946, -79.28214735971756 39.11792141445746, -79.28176158439516 39.11722644822179, -79.28122430867553 39.11613278189545, -79.28081542673438 39.11528878377725, -79.28016214190623 39.11456732973753, -79.27890011762497 39.11346295823652, -79.27885209126291 39.11307114473726, -79.27907603573045 39.11251261128947, -79.27926769473856 39.11218168233255, -79.27952186583333 39.11172769028582, -79.27965158161267 39.1114959963631, -79.28016013674355 39.11071678584626, -79.28044065986052 39.11050636291037, -79.28102764794522 39.11027662484678, -79.28167985872919 39.10988096861278, -79.28217911937284 39.1094830527888, -79.28259696272964 39.10874904720652, -79.28305576375382 39.10816761727531, -79.28302054946829 39.10741473609675, -79.28277352628527 39.10651456546483, -79.28287825215205 39.10589353097502, -79.28294405829313 39.10570378474945, -79.28319338438436 39.10551673981833, -79.28347907305839 39.10509182584308, -79.28365039358459 39.10473925628474, -79.28395192241547 39.10441900556582, -79.28407486395325 39.10379009507961, -79.28420353796278 39.102895460378, -79.28422330213259 39.10208031070646, -79.28450987344512 39.10135019032764, -79.28454539918351 39.10119596166176, -79.28477597403047 39.10081974225177, -79.28513204261864 39.10001442322873, -79.28529247646048 39.09970686497657, -79.28558106856035 39.09944053386609, -79.28600962706093 39.09925932770226, -79.28663663988399 39.09885407767644, -79.28687847586687 39.09832032540291, -79.28729835286958 39.09773380477983, -79.28779691542795 39.09735969197929, -79.28804907850137 39.09705347447091, -79.28854648146242 39.09672701986109, -79.28916564378511 39.09642619555272, -79.28977903939274 39.09636367470974, -79.29048993511776 39.09606418593901, -79.29090074939016 39.09552189537193, -79.29137733540888 39.09478983773553, -79.29163522455401 39.09424529904373, -79.2917713626683 39.09367513734089, -79.2917188045902 39.09314885962608, -79.29177429977203 39.09284298246317, -79.2916058885677 39.09206563240028, -79.29137454247342 39.09162073649743, -79.29132293474794 39.09147709309299, -79.29125819897382 39.09085449897536, -79.29130028762471 39.090378324371, -79.29158529175955 39.08997721654653, -79.29196778142014 39.08933914495655, -79.29224315211584 39.08849835193109, -79.29234037908809 39.08831006927449, -79.29270795890625 39.08754055845695, -79.29291390204193 39.08679120673576, -79.29290296928181 39.0862015219679, -79.29291677905353 39.08611617639996, -79.29296940105262 39.08563697473145, -79.29306459628788 39.08509439934484, -79.29322213025317 39.08452074600637, -79.2933514158769 39.0842666479558, -79.29356163675772 39.08406174466295, -79.2942132067751 39.08343131923081, -79.29482217125997 39.08286426647255, -79.29520463439557 39.08232589041035, -79.29555336553955 39.08148303705417, -79.29556376124093 39.08105121852067, -79.29553350386136 39.08060280518934, -79.29550132112057 39.08023435620848, -79.29560738642462 39.08009191092619, -79.29608703402506 39.07977894579615, -79.29661156466446 39.07930664055792, -79.29692692540596 39.07905462919966, -79.29796905547154 39.0785620705328, -79.29907856736833 39.07818181579528, -79.30029346133949 39.07786615163334, -79.3014817209326 39.07754557286416, -79.30229828307864 39.0770573982491, -79.3029808054671 39.07658528486768, -79.30343732758242 39.07613688674522, -79.30454925672258 39.07655854116761, -79.30582999283443 39.07708173823488, -79.30668699652865 39.07709419453346, -79.3067414757315 39.07709498626942, -79.30681113328134 39.07704804795254, -79.30763807800986 39.07649080478554, -79.30836231734101 39.07572190895535, -79.30885658773525 39.07471991660576, -79.30983687751184 39.07412405186113, -79.31058671025265 39.07366826558351, -79.31122493114364 39.07280800738323, -79.31201853707672 39.07158057541516, -79.3125 39.07096765497377, -79.3125 39.125))",20.13943979849067,3478.65,0.005789441248326411,126,0.08047323114324054
1060,39.09375,-79.15625,1993-11-27,17.05,1993,11,27,"POLYGON ((-79.13802409863372 39.125, -79.125 39.125, -79.125 39.11174297920607, -79.12578539606663 39.11168684076974, -79.1265395638876 39.11159535337705, -79.12733503690478 39.11196403865366, -79.12767412151314 39.11234341148902, -79.12863014851649 39.11273720395337, -79.12939891425054 39.11310544027448, -79.12957735422226 39.11346420694668, -79.13039079863208 39.11416652982443, -79.13113179023313 39.11457485978533, -79.13209071042465 39.11486054212693, -79.13311781976087 39.11500676442692, -79.13326890886397 39.11532888745355, -79.13327160217911 39.11588409944144, -79.13354121842937 39.11687052162623, -79.13395664919139 39.11739976693405, -79.13470149560169 39.117663970206, -79.13536340512277 39.11803046591616, -79.13518135057126 39.11882044499095, -79.13470150098672 39.11969126452831, -79.1343080366767 39.12035622108365, -79.13443139096523 39.12077716883685, -79.13517080830603 39.12124851839888, -79.13566721089612 39.12177905222122, -79.13637811556369 39.12229048813246, -79.13749487151892 39.1227092919213, -79.13827499973382 39.12284549136763, -79.13841667605828 39.12299910340501, -79.13846764242842 39.12351773318706, -79.13836796215884 39.12422793954769, -79.13802526193386 39.12499734579691, -79.13802409863372 39.125))",1.905994959644005,3478.65,0.000547912253214323,127,0.009341903499280333
1425,39.09375,-79.09375,1993-11-27,26.375,1993,11,27,"POLYGON ((-79.125 39.125, -79.0625 39.125, -79.0625 39.09611501055208, -79.06268893587738 39.09612404733736, -79.06373058573934 39.09606983689631, -79.06483143109749 39.09608812417076, -79.0656259731709 39.09592947758811, -79.06586930853169 39.09592227756807, -79.06697200951088 39.09584596196836, -79.06788422912435 39.09605030086306, -79.06848953719459 39.09629910218834, -79.06852487151374 39.09630896153146, -79.06873777711881 39.09643899240174, -79.06955757582588 39.09666712707958, -79.07020234263047 39.09658244178348, -79.0710052102016 39.09630965800417, -79.07147234364813 39.09600747644144, -79.07215352804479 39.09570883650229, -79.07246840749609 39.09538030086872, -79.07296861408452 39.09502452882047, -79.07342345643711 39.09483101884759, -79.0745629750006 39.09454350797622, -79.07538601590005 39.09465170964096, -79.0763866693153 39.09497907423309, -79.0773900231631 39.09520737033837, -79.0782142008153 39.09524799301526, -79.07961741948891 39.09538825283278, -79.08068340996361 39.09557250321034, -79.08193155442632 39.09578225869769, -79.08287793450705 39.09573422534171, -79.08302183194242 39.09583174380661, -79.08313569876633 39.09649584929525, -79.08366417725428 39.09731545013113, -79.08370630847283 39.0980279471669, -79.08324114824852 39.09825906537258, -79.08267775889078 39.098727332958, -79.08241871711873 39.09924566285907, -79.08230952370374 39.09988809136042, -79.08225915692974 39.10062609355369, -79.08248586428861 39.10130107711861, -79.08295821865025 39.10192603889955, -79.08426398326364 39.10228089292643, -79.08497273690645 39.1021033193223, -79.08561874881173 39.10194724879676, -79.08620418772844 39.10181269905748, -79.08699688601472 39.10189779139886, -79.08784978094964 39.10202892735522, -79.08845327305588 39.1023496701345, -79.08922215286282 39.10331735801164, -79.08969261719062 39.10404137888896, -79.08902410173116 39.10500351078512, -79.08899891324386 39.105935644731, -79.08875927799991 39.10685975998815, -79.08870687908951 39.10779590330389, -79.08897829180729 39.1079583528146, -79.08958388900717 39.10806711594917, -79.09109916005151 39.10859201112063, -79.09276179569014 39.10933554004343, -79.09390827701468 39.10992193198577, -79.0948672368108 39.11068094849296, -79.09607322194699 39.11134038501095, -79.09712266388449 39.11212338059526, -79.09769984298384 39.11232101536122, -79.09836605211981 39.11254912919295, -79.09959002874412 39.11254206438755, -79.10103219140397 39.11237636559684, -79.10241368742712 39.11220964911344, -79.10387771204894 39.11122885150647, -79.1052655612235 39.11082343672117, -79.10625336964119 39.11048359266908, -79.10701907110463 39.11032138984102, -79.1074832665763 39.11036128755912, -79.10793284030707 39.11060548367812, -79.10873951693441 39.111334879438, -79.10931343945396 39.11160549108364, -79.11023103589685 39.11162037211378, -79.11074102040065 39.11201156677261, -79.11152438373911 39.11245224561569, -79.11229086901518 39.11241511015027, -79.11317415659373 39.11255106168547, -79.11405446021345 39.11282659825272, -79.11479552573923 39.11255025720141, -79.11566696006561 39.11201923661965, -79.11638149708733 39.11159830743326, -79.11704377110892 39.11129365085382, -79.11813302287997 39.11173021610202, -79.11919280544647 39.11226991336023, -79.11998549258725 39.11274222335529, -79.12040127553573 39.11325349894069, -79.12055522216248 39.11352628044627, -79.12101794660548 39.11360853845947, -79.12119040577289 39.11363919563181, -79.12119625784916 39.11364023104446, -79.12176486468078 39.11346019080511, -79.1225853242216 39.11288775056305, -79.12340696613718 39.11229730099782, -79.12460203157332 39.11177142514072, -79.125 39.11174297920607, -79.125 39.125))",19.564641501118576,3478.65,0.005624205223612199,128,0.14833841277277177
1790,39.09375,-79.03125,1993-11-27,33.175,1993,11,27,"POLYGON ((-79.0625 39.125, -79.03876200915394 39.125, -79.03895857312465 39.12459766698347, -79.03926653810937 39.12350362183277, -79.039158398114 39.12239806951271, -79.0385520731221 39.12124358825989, -79.0378628013119 39.12008319974534, -79.0372388191024 39.11915418665668, -79.03727153047521 39.11892822056765, -79.03743953400466 39.11881767915147, -79.03779663853454 39.1186984189681, -79.03868134213204 39.11826017720844, -79.0392484819386 39.11791098736929, -79.03974503252175 39.11748508732789, -79.04004673095471 39.11709366848841, -79.04021722362344 39.11635964639823, -79.040272644966 39.11623590608274, -79.0408580214024 39.11511949323422, -79.04158095894414 39.11407295726299, -79.04274561161428 39.11310141892931, -79.04359578285242 39.11244444651093, -79.04440471770678 39.11129122226946, -79.04536786104573 39.11057304999441, -79.04615935164632 39.11002320023319, -79.04707413875296 39.10906544005604, -79.04755537345788 39.10870408778273, -79.0485383019541 39.10828806680872, -79.0497219033449 39.10761861104485, -79.05068381736106 39.10694092409693, -79.05146018493289 39.1059402692814, -79.05214401981844 39.10528044588484, -79.05274415777156 39.10464175578326, -79.05329099091325 39.10391656487802, -79.05389643387413 39.10308423570353, -79.05430649852654 39.10231171370013, -79.05424239112622 39.10162135927276, -79.05419474655704 39.10109347629113, -79.05493725382512 39.10079502069704, -79.05581294196104 39.10009332759904, -79.05693734934701 39.09925611815159, -79.05750745637371 39.09854931783223, -79.05819703585603 39.09793911619898, -79.05891690791819 39.09735643532343, -79.05991127882187 39.09677832835141, -79.06028747007859 39.09660186313064, -79.06090619352807 39.09642815932202, -79.06164727559903 39.09617825361198, -79.06192510089427 39.09608751318185, -79.0625 39.09611501055208, -79.0625 39.125))",7.251495519661738,3478.65,0.0020845717504381694,129,0.06915566623038424
2155,39.15625,-79.46875,1993-11-27,14.25,1993,11,27,"POLYGON ((-79.47934803449165 39.1875, -79.44238464472441 39.1875, -79.44235900347279 39.18745831694974, -79.44225036898229 39.18683965049343, -79.44247085428712 39.18636459156303, -79.44306873440983 39.1857443315369, -79.44399634297821 39.18517353966908, -79.44519993330695 39.18457240459216, -79.44631114320605 39.18399254534363, -79.44773847907014 39.18387642306268, -79.44816056901827 39.18426047811033, -79.44884950551203 39.18455349320281, -79.44964897785832 39.18476788158446, -79.45005157705486 39.18487585182056, -79.45060737807485 39.18482120498572, -79.45089932444377 39.18479251076216, -79.45090144632499 39.18479161910119, -79.45117193013361 39.18477119565503, -79.45162405306807 39.18465857898258, -79.45257586431919 39.1842170785049, -79.4534145186491 39.18392286290986, -79.45435079989689 39.18372021497991, -79.45522449570377 39.18349613157331, -79.4559953445975 39.18323683244405, -79.4578243004527 39.18323549912438, -79.4594987016963 39.18267198764494, -79.46073884860944 39.18227384275063, -79.46126432703095 39.18210513986349, -79.46308318681899 39.18184982792321, -79.46409695542414 39.18108380533398, -79.46450709300828 39.18029179218564, -79.46505877617629 39.17963736959213, -79.46509681075521 39.17959225100793, -79.46611044390127 39.178830709644, -79.46723308688131 39.17861121204017, -79.46819873906827 39.17869148954151, -79.46870049008548 39.17924321624746, -79.46877392508634 39.17940382643118, -79.46904656729387 39.18000013285884, -79.47049181963402 39.18025339100654, -79.470923389788 39.18033718634729, -79.47178589572195 39.18050465098714, -79.47262644408259 39.18074993937681, -79.47349171559759 39.18125685639878, -79.47404824603291 39.18208860134613, -79.4749713026128 39.18273592128974, -79.47495814543124 39.1833439543021, -79.47530830661616 39.18391619530884, -79.4752424828516 39.18414960509829, -79.47535861567273 39.1846877968208, -79.47561520936796 39.18482489800203, -79.47631374130303 39.18493851353732, -79.47733487417922 39.18523569797559, -79.47804626791279 39.18590274773828, -79.47870327407932 39.18624022000728, -79.47905021281913 39.18699711061627, -79.47934803449165 39.1875))",2.7455829313209064,3478.65,0.0007892667935322341,117,0.011247051807834337
2520,39.15625,-79.40625,1993-11-27,13.9,1993,11,27,"POLYGON ((-79.42944201639423 39.1875, -79.42747787408399 39.1875, -79.42796800889094 39.18680994984161, -79.42873823206595 39.18647876029361, -79.42902208394349 39.18665813119063, -79.4292976995221 39.1873775216238, -79.42944201639423 39.1875))",0.019733923344218827,3478.65,5.6728683093208074e-06,118,7.885286733553171e-05
2885,39.15625,-79.34375,1993-11-27,12.05,1993,11,27,"MULTIPOLYGON (((-79.3125 39.17753915004732, -79.3125 39.17608836593782, -79.31311859744909 39.1767704150685, -79.3130907500737 39.17711369530495, -79.3125 39.17753915004732)), ((-79.3125 39.16915902992164, -79.3125 39.125, -79.3357836700723 39.125, -79.33589271136096 39.12562126919978, -79.33609727162091 39.12645314640287, -79.33588337546843 39.12721597212503, -79.33531179379601 39.12766282942048, -79.33396491721699 39.12768863461511, -79.33281340220186 39.12773974211744, -79.33177261089561 39.12787801933842, -79.3311784395726 39.12808576578993, -79.33032213390366 39.12870872632856, -79.32929281263849 39.12952292045009, -79.32832039047537 39.13031539596135, -79.32751209062134 39.13129043267012, -79.32682263169863 39.13197884117923, -79.32649490185887 39.13278054679763, -79.32635598226852 39.13391386220192, -79.32688993109382 39.13506133901372, -79.32742399973893 39.13620430438447, -79.32807375042371 39.13719575889775, -79.32904251999899 39.13775479009991, -79.32976286513146 39.13811651417386, -79.33036478072836 39.13877838411627, -79.33096842385621 39.13933666789074, -79.33111983867305 39.14005966301388, -79.33118483939354 39.14088954833499, -79.33116676112188 39.14165516182861, -79.33100640419988 39.14250434153724, -79.33103781133242 39.14353196688769, -79.33118774984302 39.14431801600461, -79.33142398056142 39.14500167283077, -79.3317141817386 39.14578972841478, -79.33182604135106 39.14699421382653, -79.33163588723023 39.14791054121923, -79.33139430672747 39.14864592215107, -79.33123852875146 39.149301453437, -79.33096661136715 39.1501264986552, -79.32999955467508 39.15068029351107, -79.32905889781516 39.15127951119645, -79.3286512717013 39.15190888693682, -79.32846212607956 39.15278017589919, -79.32844363209765 39.15356180079767, -79.32831317033018 39.15383940294802, -79.32794791135825 39.1543676269465, -79.32719509374121 39.15533893972166, -79.32621918123921 39.15626199393169, -79.3254460107017 39.15693115854047, -79.32470713206192 39.15731248129026, -79.32402358141836 39.15773965087531, -79.32346993530359 39.15860568195013, -79.32358530280968 39.15965704588549, -79.32331796226002 39.16028391454362, -79.32287314797881 39.16128667040842, -79.3223778128192 39.16204090500324, -79.32159779203982 39.16299377190965, -79.32143984696296 39.16373484562949, -79.32067535048645 39.16436806344382, -79.31971550907497 39.16497142476634, -79.31838901821989 39.16556948653687, -79.31703278055713 39.16614007228754, -79.31567415286504 39.16680973275047, -79.31425185267025 39.16760007401192, -79.31334932004873 39.16834388084117, -79.3125 39.16915902992164)))",10.39917603681218,3478.65,0.0029894286682512414,119,0.03602261602261573
3250,39.15625,-79.28125,1993-11-27,12.675,1993,11,27,"POLYGON ((-79.29773527311482 39.1875, -79.25 39.1875, -79.25 39.15164473325942, -79.25010896762664 39.15158362090159, -79.25066401492577 39.1514250743539, -79.25109545143019 39.15131235767717, -79.25168995153771 39.15079680602913, -79.25237213010823 39.15044945088103, -79.25280769554048 39.15016990659121, -79.2533021064156 39.14998660272624, -79.25352165145503 39.14977533496739, -79.25405078712782 39.14942567228682, -79.25470469423479 39.1489825215448, -79.25523558232963 39.14856135283078, -79.25539920436771 39.14813469709238, -79.2552214696385 39.14729287853203, -79.25524918484086 39.14695331814766, -79.25526008028525 39.1468198373198, -79.25537888186318 39.14652084883078, -79.2555585748739 39.14606861715212, -79.25564675309667 39.14563554568751, -79.25573278855758 39.14521300022901, -79.25581463821759 39.14508720907224, -79.25613786182045 39.14459046421027, -79.25617830070843 39.14452831758705, -79.25653597744976 39.14403691442812, -79.25659026433031 39.14396233036405, -79.25697279376827 39.14334822240563, -79.25718054185892 39.14314606917569, -79.25791380239497 39.14243254852103, -79.25894652804605 39.14168077219441, -79.25900485956787 39.14163830991347, -79.25999950318851 39.1406006239671, -79.26005539920688 39.14057562725431, -79.26096338022195 39.1397547936373, -79.26161950230002 39.13921627335866, -79.26211498210202 39.13898526961225, -79.26270695041201 39.13856497699983, -79.26363611190908 39.13812587454601, -79.26428750910451 39.13777799013702, -79.26462938236675 39.13756852150087, -79.26492234439621 39.13685769804155, -79.26497717531491 39.13649996690648, -79.2651604520299 39.13618139418463, -79.2654871488524 39.13538896476852, -79.26573005243804 39.13512942320985, -79.26622725234925 39.13482690716888, -79.26676146603243 39.13426269925763, -79.26717386615212 39.13367283602641, -79.2673638894628 39.13341342771681, -79.26749037267358 39.13324842423614, -79.26805458418202 39.1327085017089, -79.26846229797455 39.13230928268802, -79.26880821367121 39.13193298746189, -79.2690923541893 39.13157961394759, -79.26975183312138 39.13089805760504, -79.27019478637528 39.13030864544848, -79.27125609565925 39.12946615789433, -79.2713235366832 39.12939675091094, -79.2715072836031 39.12920765175069, -79.2721909040212 39.12878867069421, -79.27250561018076 39.12843573784179, -79.27270200866252 39.12791417718581, -79.27271601929158 39.12787192524901, -79.27286492571508 39.12742290805558, -79.27286722054151 39.12741599037122, -79.27299765248057 39.12729869091533, -79.27322479572773 39.12723615810892, -79.27387953726796 39.12674522304783, -79.2743841937896 39.12613286311894, -79.27450593535069 39.12595991485517, -79.27473296730386 39.12563739427508, -79.27478887085 39.12533575254331, -79.2748034628985 39.12525700383994, -79.27488931359282 39.125, -79.3125 39.125, -79.3125 39.16915902992164, -79.31235049675951 39.1693025181499, -79.31171899934154 39.17017637088571, -79.31127701469522 39.17080969752899, -79.31076330515249 39.1718699634696, -79.31070792132078 39.17291435730223, -79.31087160237632 39.17372314383424, -79.31137593899412 39.17432513673201, -79.31231464600445 39.17588399954136, -79.3125 39.17608836593782, -79.3125 39.17753915004732, -79.3118058254081 39.17803909052183, -79.31077745648079 39.17892519981806, -79.31023901666913 39.17974633616633, -79.30961203879932 39.18042652275906, -79.30923021815579 39.18096570287427, -79.30900346901291 39.18140474186966, -79.30884636374067 39.18183947057879, -79.30847396238468 39.18225834167232, -79.30796483476875 39.18244399756673, -79.30739315611181 39.1826081440393, -79.30672692542485 39.1827281227663, -79.3059661354165 39.18280394728957, -79.30557628632847 39.1829375202003, -79.30486347012982 39.18329749920436, -79.30439504808264 39.18364843073496, -79.30380296135026 39.18398011210676, -79.30321523576296 39.18438310161456, -79.30258968876439 39.18466835701663, -79.30188851874045 39.18471812754346, -79.30131627634891 39.18468806310351, -79.30085365533205 39.18480702967571, -79.30082221362626 39.18480520983513, -79.30009485157132 39.18492741969209, -79.29938199368175 39.18528736847498, -79.29873603443198 39.18574015460482, -79.29846100881323 39.18625070370672, -79.29788329272604 39.18732049651131, -79.29778027838677 39.18746343758904, -79.29773527311482 39.1875))",55.71488720251844,3478.65,0.01601623825406938,120,0.20300582292518438
3615,39.15625,-79.21875,1993-11-27,14.725,1993,11,27,"POLYGON ((-79.25 39.1875, -79.1875 39.1875, -79.1875 39.16231150985977, -79.18771519206666 39.16212045031339, -79.18849940025909 39.16139362511152, -79.18890771440972 39.16099470219367, -79.18928603285711 39.16057148039819, -79.18982265121961 39.16014893772038, -79.18999780888103 39.1600503817055, -79.19077329949752 39.16018857273438, -79.19197287324552 39.16054507028756, -79.19314685346765 39.16085611485475, -79.19450805101019 39.16122861022495, -79.19600137658401 39.1627158981138, -79.1972610361445 39.16386617976392, -79.19860656111817 39.16482854630848, -79.19920399272566 39.16534971750539, -79.19947032248547 39.16541489535521, -79.20004584046298 39.16529229032763, -79.20085574702716 39.16513361241663, -79.20206025288923 39.16530087508865, -79.20302603440437 39.1653563162895, -79.2044407808274 39.16573402723095, -79.20556459394206 39.1659180273759, -79.20660744043822 39.16610078171583, -79.20797164381686 39.16633351288895, -79.20917544939628 39.16655926079869, -79.20935284001678 39.16698095845086, -79.20997167864007 39.16799510212209, -79.21051722277144 39.16873330392446, -79.21111675236938 39.16945432555039, -79.21179934479747 39.17009550884299, -79.21234812701762 39.17070761518015, -79.21292937069899 39.1710949565484, -79.21357850348376 39.17091569541175, -79.21435474313616 39.17103122189885, -79.21440865553348 39.17104666141869, -79.21502734289649 39.17122377735669, -79.21536891203721 39.17132156966248, -79.2159616738884 39.171170120962, -79.2165303514263 39.17122813935377, -79.21729744423025 39.17155832978583, -79.21824898241745 39.172181076575, -79.21934842794774 39.17277515985679, -79.21944162140704 39.17282551592569, -79.22109033387243 39.1735174528967, -79.2221525955821 39.17399769069129, -79.22329236490893 39.17461876032768, -79.22438112119484 39.17513993756909, -79.22571156588826 39.17566027410444, -79.22704405992212 39.17609953067126, -79.22821642926972 39.17649129055729, -79.22938869755198 39.17688754417783, -79.23069087840814 39.17747046385685, -79.23238956280079 39.17857296724736, -79.23240948772339 39.1785867849072, -79.23386185991569 39.17747803879861, -79.2360430501613 39.17621361479694, -79.23707749795102 39.17459842871006, -79.23703164625688 39.17321917560632, -79.23758335082482 39.17155163463761, -79.23810156232494 39.17018091153513, -79.2382058877195 39.16921840087408, -79.23823172473827 39.16866447962635, -79.23841456993487 39.16812527286736, -79.23886774166468 39.16745339663307, -79.23925297378841 39.16701115201741, -79.23953859014324 39.16661019272556, -79.2396363745617 39.1663732798711, -79.23989018966607 39.16601951628022, -79.24017877325961 39.16549940943321, -79.24065221322115 39.16493441099863, -79.24124631526746 39.16444274980515, -79.24218187844302 39.16376552240397, -79.24286779397944 39.16327523618119, -79.24337657850096 39.16253934555249, -79.24361672527684 39.16231718365412, -79.24465756286764 39.1615354648799, -79.24517427117281 39.16018720945049, -79.24586267712307 39.15952631750499, -79.24671359482895 39.1587867747109, -79.24725710142229 39.15757686365284, -79.24728247147317 39.15752038777576, -79.24821775333704 39.15556571533554, -79.24904810457684 39.1545735618712, -79.24916564614499 39.15307062163245, -79.24930619085143 39.15221026692662, -79.24948679187457 39.15197955091293, -79.24973637598562 39.1517925816213, -79.25 39.15164473325942, -79.25 39.1875))",19.55011989718126,3478.65,0.00562003072950175,121,0.08275495463578485
