end_date,p_mm,yr,start_date
1915-10-02,81.5715337529532,1915,1915-10-01
1916-08-05,78.16677229083197,1916,1916-08-04
1917-01-22,88.66567888791064,1917,1917-01-21
1918-08-31,68.31519892525696,1918,1918-08-30
1919-07-16,75.73859493620651,1919,1919-07-15
1920-06-17,73.4908058817123,1920,1920-06-16
1921-08-03,105.20734412544587,1921,1921-08-02
1922-07-13,79.96235530405437,1922,1922-07-12
1923-04-14,64.85835030632211,1923,1923-04-13
1924-09-30,93.00409159865217,1924,1924-09-29
1925-10-04,70.89897126480525,1925,1925-10-03
1926-08-18,110.18699008207989,1926,1926-08-17
1927-10-18,88.57368025194337,1927,1927-10-17
1928-04-28,104.50791307712052,1928,1928-04-27
1929-10-02,128.5168089917268,1929,1929-10-01
1930-06-10,86.97242915380876,1930,1930-06-09
1931-05-13,64.99990886508246,1931,1931-05-12
1932-05-12,72.91016414051859,1932,1932-05-11
1933-08-23,77.66229817481715,1933,1933-08-22
1934-08-16,109.30199343458,1934,1934-08-15
1935-09-03,86.1397015247664,1935,1935-09-02
1936-03-17,147.9695575036716,1936,1936-03-16
1937-10-28,139.067877635849,1937,1937-10-27
1938-07-23,82.39765827768503,1938,1938-07-22
1939-06-28,69.30238256932424,1939,1939-06-27
1940-08-27,99.3387610621125,1940,1940-08-26
1941-07-04,124.41202069099035,1941,1941-07-03
1942-10-15,168.79114303905155,1942,1942-10-14
1943-01-27,70.0886537954029,1943,1943-01-26
1944-10-21,89.92251942998635,1944,1944-10-20
1945-08-24,112.9289203576924,1945,1945-08-23
1946-06-19,74.48548342341181,1946,1946-06-18
1947-08-26,74.11725975266444,1947,1947-08-25
1948-04-13,95.60256813132446,1948,1948-04-12
1949-06-18,122.53279016890353,1949,1949-06-17
1950-09-22,89.4398880345072,1950,1950-09-21
1951-06-13,82.07077172235145,1951,1951-06-12
1952-11-21,107.36458050121577,1952,1952-11-20
1953-05-31,64.05206904947255,1953,1953-05-30
1954-10-16,188.5856965686874,1954,1954-10-15
1955-06-08,130.31726029601822,1955,1955-06-07
1956-08-06,106.25357435757198,1956,1956-08-05
1957-10-07,105.33555702547355,1957,1957-10-06
1958-05-05,62.98380692974597,1958,1958-05-04
1959-10-24,123.08714110796247,1959,1959-10-23
1960-05-08,123.10256428225046,1960,1960-05-07
1961-03-22,62.863198417427526,1961,1961-03-21
1962-03-06,83.7072713968656,1962,1962-03-05
1963-03-05,87.64275867420368,1963,1963-03-04
1964-04-29,106.93287241907484,1964,1964-04-28
1965-03-05,62.62059439852724,1965,1965-03-04
1966-09-15,74.81391872849281,1966,1966-09-14
1967-03-07,106.78208435173971,1967,1967-03-06
1968-05-24,93.74624577113651,1968,1968-05-23
1969-08-10,55.4454651430127,1969,1969-08-09
1970-07-10,72.53737757272131,1970,1970-07-09
1971-09-13,69.11344048838964,1971,1971-09-12
1972-06-23,127.14786734691998,1972,1972-06-22
1973-10-29,94.69586580312952,1973,1973-10-28
1974-12-02,110.50967523647648,1974,1974-12-01
1975-09-01,84.8644653565785,1975,1975-08-31
1976-10-09,112.10290149469179,1976,1976-10-08
1977-03-13,59.327078911090396,1977,1977-03-12
1978-07-04,90.54295781139587,1978,1978-07-03
1979-09-06,66.52943102449098,1979,1979-09-05
1980-07-09,86.96067169183803,1980,1980-07-08
1981-04-13,94.0590657659246,1981,1981-04-12
1982-07-04,82.37316601784435,1982,1982-07-03
1983-04-24,74.46574418616112,1983,1983-04-23
1984-07-01,94.32203242230594,1984,1984-06-30
1985-11-05,142.83790775792303,1985,1985-11-04
1986-03-15,56.182120271973375,1986,1986-03-14
1987-09-08,68.88328800458498,1987,1987-09-07
1988-05-06,76.84909469687535,1988,1988-05-05
1989-03-06,90.07504182760665,1989,1989-03-05
1990-08-23,85.69773839003189,1990,1990-08-22
1991-12-03,68.65907788140302,1991,1991-12-02
1992-12-11,106.49570078833496,1992,1992-12-10
1993-04-16,92.6275630220448,1993,1993-04-15
1994-02-09,108.07417045521969,1994,1994-02-08
1995-08-06,110.39278802673635,1995,1995-08-05
1996-09-07,207.61912125282927,1996,1996-09-06
1997-11-07,90.32001172193507,1997,1997-11-06
1998-04-19,78.12824289537204,1998,1998-04-18
1999-04-10,60.16522500631568,1999,1999-04-09
2000-02-19,87.1455753597377,2000,2000-02-18
2001-06-07,81.16139368116791,2001,2001-06-06
2002-09-27,75.63534159462746,2002,2002-09-26
2003-09-19,141.3944816048096,2003,2003-09-18
2004-09-09,139.66625502443796,2004,2004-09-08
2005-03-29,77.6100400087669,2005,2005-03-28
2006-04-22,75.61727545371451,2006,2006-04-21
2007-08-21,103.21564396303631,2007,2007-08-20
2008-12-12,74.85586420790702,2008,2008-12-11
2009-05-04,80.67952455180244,2009,2009-05-03
2010-10-01,90.13794550804637,2010,2010-09-30
2011-09-07,133.37325645208028,2011,2011-09-06
