end_date,p_mm,start_date
1915-01-12,58.27795567862663,1915-01-12
1915-06-02,42.22012958791888,1915-06-02
1915-10-01,68.45532852010474,1915-10-01
1915-12-17,46.93042793050614,1915-12-17
1916-03-22,53.27007614636976,1916-03-22
1916-06-15,33.83816402625684,1916-06-15
1916-06-25,33.784351709322024,1916-06-25
1916-08-04,67.28762911151917,1916-08-04
1916-09-29,44.63820776214617,1916-09-29
1917-01-21,35.947707598086424,1917-01-21
1917-01-22,52.71797128982422,1917-01-22
1917-02-28,40.74827887643771,1917-02-28
1917-03-04,43.55823227262442,1917-03-04
1917-05-27,46.41810171269317,1917-05-27
1917-05-28,41.9872341310525,1917-05-28
1917-09-06,35.25747140430316,1917-09-06
1917-10-19,42.246572843689535,1917-10-19
1917-10-24,46.673240336898886,1917-10-24
1918-02-20,39.37543020279271,1918-02-20
1918-02-26,35.44595211467739,1918-02-26
1918-04-10,38.89706724040396,1918-04-10
1918-06-17,34.40822460318443,1918-06-17
1918-08-10,42.60556326393837,1918-08-10
1918-08-31,55.754613739564654,1918-08-31
1918-10-30,36.63772079183214,1918-10-30
1918-12-22,33.63479911067521,1918-12-22
1919-06-15,37.767903835250365,1919-06-15
1919-07-10,39.841240988838265,1919-07-10
1919-07-15,57.929886116289275,1919-07-15
1919-08-06,39.146896219051946,1919-08-06
1919-10-14,35.974058257479264,1919-10-14
1919-11-01,35.373363784197885,1919-11-01
1919-11-26,38.23751154510215,1919-11-26
1919-12-07,38.342411933998996,1919-12-07
1919-12-13,36.62282942079347,1919-12-13
1920-06-05,37.6792117786815,1920-06-05
1920-06-17,40.1870556205682,1920-06-17
1920-07-24,70.90431008188773,1920-07-24
1920-11-16,49.11709562584231,1920-11-16
1921-01-14,35.78063015823098,1921-01-14
1921-02-20,47.144623956423615,1921-02-20
1921-05-04,40.170600456115324,1921-05-04
1921-05-25,68.17062415369315,1921-05-25
1921-06-29,39.37873894521444,1921-06-29
1921-08-02,38.78513171096166,1921-08-02
1921-08-03,66.42221241448422,1921-08-03
1921-08-07,43.979200667733735,1921-08-07
1921-09-21,43.03961644090172,1921-09-21
1921-11-28,42.43022186812539,1921-11-28
1921-12-24,40.4047515689909,1921-12-24
1922-01-11,58.57550989681923,1922-01-11
1922-04-14,50.0415686674339,1922-04-14
1922-07-13,79.78563641709032,1922-07-13
1922-08-24,36.6709497023892,1922-08-24
1922-09-02,34.21207093809986,1922-09-02
1922-12-05,44.07079559739426,1922-12-05
1922-12-17,47.70672497222559,1922-12-17
1923-01-01,34.221934336014044,1923-01-01
1923-02-13,35.17412341442587,1923-02-13
1923-04-13,39.81135718837806,1923-04-13
1923-06-28,38.51226682648454,1923-06-28
1923-07-13,34.139517267497425,1923-07-13
1923-12-31,34.38194682750292,1923-12-31
1924-01-03,68.16261082600231,1924-01-03
1924-01-16,38.3097285475433,1924-01-16
1924-01-25,38.10873276701476,1924-01-25
1924-02-20,47.5366711020178,1924-02-20
1924-03-11,42.450144967964626,1924-03-11
1924-03-26,38.919673356358096,1924-03-26
1924-03-29,66.2597378304118,1924-03-29
1924-05-11,35.54129530957662,1924-05-11
1924-05-12,52.819529430928405,1924-05-12
1924-06-29,37.99749064017993,1924-06-29
1924-07-07,38.10789152238611,1924-07-07
1924-09-29,35.897660323893895,1924-09-29
1924-09-30,57.106431274758265,1924-09-30
1925-01-27,34.53259193472585,1925-01-27
1925-01-29,41.90212892392455,1925-01-29
1925-07-21,35.70358775426529,1925-07-21
1925-07-31,47.25215233795735,1925-07-31
1925-10-04,41.79262772862492,1925-10-04
1925-10-11,34.15200980363586,1925-10-11
1925-10-17,47.94458751673561,1925-10-17
1925-10-25,40.93037132019927,1925-10-25
1926-07-23,46.0452181096944,1926-07-23
1926-08-17,50.449210964674094,1926-08-17
1926-08-18,59.73777911740579,1926-08-18
1926-08-19,40.80830813840236,1926-08-19
1926-08-20,33.59912354919541,1926-08-20
1927-02-19,38.6668411526182,1927-02-19
1927-06-14,34.488762620490085,1927-06-14
1927-10-17,42.704349838839676,1927-10-17
1927-10-18,45.869330413103704,1927-10-18
1928-04-27,53.84065996862053,1928-04-27
1928-04-28,50.6672531085,1928-04-28
1928-06-22,33.96225677882612,1928-06-22
1929-04-15,48.219880957687145,1929-04-15
1929-06-22,37.21494081482116,1929-06-22
1929-10-01,52.903893566993325,1929-10-01
1929-10-02,75.61291542473352,1929-10-02
1930-06-09,45.195623004301034,1930-06-09
1930-06-10,41.77680614950774,1930-06-10
1931-05-12,39.30723936093646,1931-05-12
1931-08-20,37.96773133210754,1931-08-20
1932-02-03,38.833302935160596,1932-02-03
1932-03-27,38.98459315314932,1932-03-27
1932-05-11,42.35474111423447,1932-05-11
1932-10-05,36.75203220927695,1932-10-05
1932-10-16,42.10509272556617,1932-10-16
1933-04-19,36.42336499738721,1933-04-19
1933-07-02,36.641934094283016,1933-07-02
1933-08-10,42.22460730812269,1933-08-10
1933-08-22,39.156677209355095,1933-08-22
1933-08-23,38.505620965462064,1933-08-23
1934-06-18,39.18276011950609,1934-06-18
1934-07-13,33.91942924329412,1934-07-13
1934-07-27,33.672300252038866,1934-07-27
1934-08-15,57.67663490859762,1934-08-15
1934-08-16,51.625358525982385,1934-08-16
1934-09-15,41.05912782043345,1934-09-15
1934-09-16,36.73768000027686,1934-09-16
1935-08-02,43.37412635081769,1935-08-02
1935-09-02,35.38890480024956,1935-09-02
1935-09-03,50.75079672451686,1935-09-03
1936-02-13,37.341002361094894,1936-02-13
1936-03-16,71.35897176954563,1936-03-16
1936-03-17,76.61058573412602,1936-03-17
1936-07-27,46.18494874382574,1936-07-27
1936-10-16,61.704522136203074,1936-10-16
1936-10-17,50.399520361713606,1936-10-17
1937-04-25,68.88406697159742,1937-04-25
1937-04-26,43.00624873142755,1937-04-26
1937-08-24,41.95801886499003,1937-08-24
1937-08-25,60.115302293909316,1937-08-25
1937-08-26,35.593249315924616,1937-08-26
